,name,temp,wind_speed,date
5,Roundtop,38.824583333333344,2.3954166666666663,2022-02-03 00:00:00
6,Mt Snow,33.85708333333334,4.40375,2022-02-03 00:00:00
7,Mohawk,36.56624999999999,3.534999999999999,2022-02-03 00:00:00
8,Killington,35.76583333333333,3.084583333333333,2022-02-03 00:00:00
9,Stowe,35.04750000000001,4.652916666666666,2022-02-03 00:00:00
10,Stratton,33.85708333333334,4.40375,2022-02-03 00:00:00
11,Sugarbush,35.90208333333334,4.886666666666668,2022-02-03 00:00:00
12,Okemo,37.60541666666666,1.5412499999999996,2022-02-03 00:00:00
0,Hunter,25.484166666666667,7.470416666666666,2022-02-04 00:00:00
1,Jack Frost,31.35541666666667,6.3,2022-02-04 00:00:00
2,Big Boulder,31.006249999999998,4.5095833333333335,2022-02-04 00:00:00
3,Windham,24.0175,5.132083333333333,2022-02-04 00:00:00
4,Mountain Creek,35.46916666666666,1.7420833333333334,2022-02-04 00:00:00
5,Roundtop,36.52166666666667,7.144166666666668,2022-02-04 00:00:00
6,Mt Snow,20.718333333333334,3.931666666666666,2022-02-04 00:00:00
7,Mohawk,33.57541666666667,2.4391666666666665,2022-02-04 00:00:00
8,Killington,16.654999999999998,3.405,2022-02-04 00:00:00
9,Stowe,15.134583333333332,8.1075,2022-02-04 00:00:00
10,Stratton,20.718333333333334,3.931666666666666,2022-02-04 00:00:00
11,Sugarbush,15.893333333333338,5.453333333333333,2022-02-04 00:00:00
12,Okemo,25.05666666666666,5.277083333333333,2022-02-04 00:00:00
0,Hunter,16.249166666666664,6.132916666666667,2022-02-05 00:00:00
1,Jack Frost,17.757083333333334,11.220416666666667,2022-02-05 00:00:00
2,Big Boulder,16.05458333333333,4.389583333333334,2022-02-05 00:00:00
3,Windham,15.766666666666666,3.097083333333334,2022-02-05 00:00:00
4,Mountain Creek,21.855416666666667,3.83375,2022-02-05 00:00:00
5,Roundtop,25.487916666666667,11.162500000000001,2022-02-05 00:00:00
6,Mt Snow,9.292916666666665,6.883749999999999,2022-02-05 00:00:00
7,Mohawk,18.12333333333333,3.5404166666666668,2022-02-05 00:00:00
8,Killington,10.778333333333334,2.889583333333334,2022-02-05 00:00:00
9,Stowe,8.585833333333335,7.216666666666666,2022-02-05 00:00:00
10,Stratton,9.292916666666665,6.883749999999999,2022-02-05 00:00:00
11,Sugarbush,9.397083333333333,4.583333333333334,2022-02-05 00:00:00
12,Okemo,14.07,7.049583333333334,2022-02-05 00:00:00
0,Hunter,12.527083333333335,4.372916666666668,2022-02-06 00:00:00
1,Jack Frost,15.068749999999996,5.029166666666668,2022-02-06 00:00:00
2,Big Boulder,13.30625,3.100416666666666,2022-02-06 00:00:00
3,Windham,12.731666666666667,3.3008333333333333,2022-02-06 00:00:00
4,Mountain Creek,17.83666666666667,1.7475000000000003,2022-02-06 00:00:00
5,Roundtop,21.924166666666665,4.650833333333333,2022-02-06 00:00:00
6,Mt Snow,4.632499999999999,3.7654166666666664,2022-02-06 00:00:00
7,Mohawk,13.42708333333333,2.2937500000000006,2022-02-06 00:00:00
8,Killington,5.444166666666668,3.035416666666667,2022-02-06 00:00:00
9,Stowe,2.435,3.303333333333333,2022-02-06 00:00:00
10,Stratton,4.632499999999999,3.7654166666666664,2022-02-06 00:00:00
11,Sugarbush,3.709166666666667,2.173333333333334,2022-02-06 00:00:00
12,Okemo,7.040833333333333,1.958333333333333,2022-02-06 00:00:00
0,Hunter,22.682499999999994,3.191666666666667,2022-02-07 00:00:00
1,Jack Frost,26.028333333333332,3.8766666666666656,2022-02-07 00:00:00
2,Big Boulder,23.645416666666666,2.806666666666667,2022-02-07 00:00:00
3,Windham,23.125416666666666,3.400833333333333,2022-02-07 00:00:00
4,Mountain Creek,27.346666666666668,1.7641666666666664,2022-02-07 00:00:00
5,Roundtop,29.603750000000005,2.795,2022-02-07 00:00:00
6,Mt Snow,16.979166666666668,3.700833333333333,2022-02-07 00:00:00
7,Mohawk,22.979583333333334,1.63,2022-02-07 00:00:00
8,Killington,19.47,4.587083333333333,2022-02-07 00:00:00
9,Stowe,20.327916666666667,2.58,2022-02-07 00:00:00
10,Stratton,16.979166666666668,3.700833333333333,2022-02-07 00:00:00
11,Sugarbush,21.38666666666667,4.767916666666667,2022-02-07 00:00:00
12,Okemo,17.629583333333333,0.6170833333333333,2022-02-07 00:00:00
0,Hunter,32.3325,4.036666666666666,2022-02-08 00:00:00
1,Jack Frost,29.959166666666665,5.994166666666666,2022-02-08 00:00:00
2,Big Boulder,28.066666666666663,5.074166666666667,2022-02-08 00:00:00
3,Windham,33.14625,3.4616666666666664,2022-02-08 00:00:00
4,Mountain Creek,34.00875000000001,1.7758333333333332,2022-02-08 00:00:00
5,Roundtop,32.02291666666667,7.402500000000001,2022-02-08 00:00:00
6,Mt Snow,28.37458333333333,4.484999999999999,2022-02-08 00:00:00
7,Mohawk,32.883333333333326,2.4983333333333335,2022-02-08 00:00:00
8,Killington,31.812083333333334,2.1937499999999996,2022-02-08 00:00:00
9,Stowe,29.849999999999998,3.4408333333333334,2022-02-08 00:00:00
10,Stratton,28.37458333333333,4.484999999999999,2022-02-08 00:00:00
11,Sugarbush,31.003333333333327,2.9787500000000002,2022-02-08 00:00:00
12,Okemo,32.38791666666667,1.2091666666666667,2022-02-08 00:00:00
0,Hunter,28.91625,4.535416666666666,2022-02-09 00:00:00
1,Jack Frost,29.197916666666668,5.255,2022-02-09 00:00:00
2,Big Boulder,27.04125,5.432500000000001,2022-02-09 00:00:00
3,Windham,29.541249999999994,3.8229166666666674,2022-02-09 00:00:00
4,Mountain Creek,31.922500000000003,1.8049999999999997,2022-02-09 00:00:00
5,Roundtop,33.307916666666664,4.772083333333333,2022-02-09 00:00:00
6,Mt Snow,24.793333333333333,6.495416666666666,2022-02-09 00:00:00
7,Mohawk,29.609583333333333,1.7412500000000002,2022-02-09 00:00:00
8,Killington,27.682083333333335,4.949166666666668,2022-02-09 00:00:00
9,Stowe,27.743333333333336,3.5954166666666665,2022-02-09 00:00:00
10,Stratton,24.793333333333333,6.495416666666666,2022-02-09 00:00:00
11,Sugarbush,26.83916666666667,4.114166666666667,2022-02-09 00:00:00
12,Okemo,29.445416666666663,3.591666666666667,2022-02-09 00:00:00
0,Hunter,34.821666666666665,6.117916666666666,2022-02-10 00:00:00
1,Jack Frost,36.69708333333333,7.585833333333331,2022-02-10 00:00:00
2,Big Boulder,34.04,3.6558333333333333,2022-02-10 00:00:00
3,Windham,36.23041666666666,3.205833333333334,2022-02-10 00:00:00
4,Mountain Creek,37.63958333333334,2.5870833333333336,2022-02-10 00:00:00
5,Roundtop,40.75416666666667,6.439583333333332,2022-02-10 00:00:00
6,Mt Snow,29.06375,6.875416666666666,2022-02-10 00:00:00
7,Mohawk,34.29791666666666,2.9120833333333334,2022-02-10 00:00:00
8,Killington,31.86041666666667,3.139166666666666,2022-02-10 00:00:00
9,Stowe,34.837916666666665,2.77125,2022-02-10 00:00:00
10,Stratton,29.06375,6.875416666666666,2022-02-10 00:00:00
11,Sugarbush,34.450833333333335,5.942916666666665,2022-02-10 00:00:00
12,Okemo,32.02791666666666,3.19375,2022-02-10 00:00:00
0,Hunter,34.75374999999999,5.312500000000001,2022-02-11 00:00:00
1,Jack Frost,35.94916666666667,6.301666666666667,2022-02-11 00:00:00
2,Big Boulder,34.071250000000006,5.550833333333332,2022-02-11 00:00:00
3,Windham,35.96416666666667,2.8816666666666664,2022-02-11 00:00:00
4,Mountain Creek,39.09458333333333,2.351666666666666,2022-02-11 00:00:00
5,Roundtop,40.456666666666656,5.272083333333333,2022-02-11 00:00:00
6,Mt Snow,32.117916666666666,8.757500000000002,2022-02-11 00:00:00
7,Mohawk,36.632083333333334,3.0949999999999993,2022-02-11 00:00:00
8,Killington,37.43041666666666,6.094166666666666,2022-02-11 00:00:00
9,Stowe,35.804583333333326,5.414583333333333,2022-02-11 00:00:00
10,Stratton,32.117916666666666,8.757500000000002,2022-02-11 00:00:00
11,Sugarbush,36.04833333333334,5.966666666666666,2022-02-11 00:00:00
12,Okemo,35.73833333333334,4.343333333333334,2022-02-11 00:00:00
0,Hunter,42.61208333333333,6.244583333333334,2022-02-12 00:00:00
1,Jack Frost,43.28666666666667,8.870000000000001,2022-02-12 00:00:00
2,Big Boulder,41.371249999999996,4.470416666666668,2022-02-12 00:00:00
3,Windham,43.69375,2.7991666666666664,2022-02-12 00:00:00
4,Mountain Creek,46.723749999999995,3.42375,2022-02-12 00:00:00
5,Roundtop,47.74541666666667,8.383333333333333,2022-02-12 00:00:00
6,Mt Snow,38.441250000000004,12.98208333333333,2022-02-12 00:00:00
7,Mohawk,44.59125000000001,2.8375,2022-02-12 00:00:00
8,Killington,41.699999999999996,5.370833333333333,2022-02-12 00:00:00
9,Stowe,40.79875,8.767916666666666,2022-02-12 00:00:00
10,Stratton,38.441250000000004,12.98208333333333,2022-02-12 00:00:00
11,Sugarbush,41.39541666666666,10.702916666666667,2022-02-12 00:00:00
12,Okemo,41.98,6.217083333333332,2022-02-12 00:00:00
0,Hunter,26.15625,4.693333333333333,2022-02-13 00:00:00
1,Jack Frost,28.036666666666665,5.816666666666666,2022-02-13 00:00:00
2,Big Boulder,26.393333333333334,4.757916666666667,2022-02-13 00:00:00
3,Windham,26.170000000000005,3.0820833333333333,2022-02-13 00:00:00
4,Mountain Creek,31.759166666666673,1.9987500000000002,2022-02-13 00:00:00
5,Roundtop,32.132499999999986,7.562916666666666,2022-02-13 00:00:00
6,Mt Snow,19.796250000000004,5.312083333333333,2022-02-13 00:00:00
7,Mohawk,27.664999999999996,3.3662499999999995,2022-02-13 00:00:00
8,Killington,18.92458333333333,3.0829166666666663,2022-02-13 00:00:00
9,Stowe,11.877916666666666,9.4,2022-02-13 00:00:00
10,Stratton,19.796250000000004,5.312083333333333,2022-02-13 00:00:00
11,Sugarbush,14.277916666666668,4.691249999999999,2022-02-13 00:00:00
12,Okemo,24.77499999999999,4.260416666666665,2022-02-13 00:00:00
0,Hunter,15.471666666666666,8.161249999999999,2022-02-14 00:00:00
1,Jack Frost,14.8125,10.190833333333336,2022-02-14 00:00:00
2,Big Boulder,12.887083333333335,3.627916666666667,2022-02-14 00:00:00
3,Windham,15.06583333333333,3.3474999999999997,2022-02-14 00:00:00
4,Mountain Creek,18.360416666666662,2.914166666666666,2022-02-14 00:00:00
5,Roundtop,22.500416666666666,9.572916666666666,2022-02-14 00:00:00
6,Mt Snow,8.020000000000001,7.8862499999999995,2022-02-14 00:00:00
7,Mohawk,15.315000000000005,3.667083333333333,2022-02-14 00:00:00
8,Killington,7.975416666666668,1.9366666666666668,2022-02-14 00:00:00
9,Stowe,4.964583333333333,7.338333333333334,2022-02-14 00:00:00
10,Stratton,8.020000000000001,7.8862499999999995,2022-02-14 00:00:00
11,Sugarbush,6.1875,6.25125,2022-02-14 00:00:00
12,Okemo,12.967083333333337,4.229166666666667,2022-02-14 00:00:00
0,Hunter,15.634583333333333,4.552083333333333,2022-02-15 00:00:00
1,Jack Frost,15.35041666666667,5.534166666666668,2022-02-15 00:00:00
2,Big Boulder,12.970416666666667,5.219166666666667,2022-02-15 00:00:00
3,Windham,15.653750000000002,3.6212500000000003,2022-02-15 00:00:00
4,Mountain Creek,17.69,1.9420833333333334,2022-02-15 00:00:00
5,Roundtop,22.445416666666663,5.277916666666665,2022-02-15 00:00:00
6,Mt Snow,7.069583333333333,8.762083333333331,2022-02-15 00:00:00
7,Mohawk,13.33875,2.392083333333333,2022-02-15 00:00:00
8,Killington,8.3425,2.56125,2022-02-15 00:00:00
9,Stowe,6.449999999999999,3.9299999999999997,2022-02-15 00:00:00
10,Stratton,7.069583333333333,8.762083333333331,2022-02-15 00:00:00
11,Sugarbush,7.469166666666666,4.779583333333334,2022-02-15 00:00:00
12,Okemo,10.839166666666666,3.9812499999999997,2022-02-15 00:00:00
0,Hunter,24.56916666666667,7.891666666666666,2022-02-16 00:00:00
1,Jack Frost,26.78333333333333,8.664583333333335,2022-02-16 00:00:00
2,Big Boulder,23.933333333333337,4.2975,2022-02-16 00:00:00
3,Windham,25.323333333333334,4.347916666666667,2022-02-16 00:00:00
4,Mountain Creek,26.98166666666667,1.8295833333333336,2022-02-16 00:00:00
5,Roundtop,31.928749999999994,7.461250000000001,2022-02-16 00:00:00
6,Mt Snow,17.147499999999997,6.959166666666667,2022-02-16 00:00:00
7,Mohawk,22.842499999999998,2.127083333333333,2022-02-16 00:00:00
8,Killington,19.300416666666663,5.9750000000000005,2022-02-16 00:00:00
9,Stowe,14.859583333333335,6.133333333333334,2022-02-16 00:00:00
10,Stratton,17.147499999999997,6.959166666666667,2022-02-16 00:00:00
11,Sugarbush,16.395000000000003,6.677499999999998,2022-02-16 00:00:00
12,Okemo,19.316666666666666,2.0187500000000003,2022-02-16 00:00:00
0,Hunter,44.309999999999995,10.072916666666666,2022-02-17 00:00:00
1,Jack Frost,44.77458333333334,11.671666666666665,2022-02-17 00:00:00
2,Big Boulder,41.922083333333326,4.660833333333334,2022-02-17 00:00:00
3,Windham,45.91208333333333,7.469583333333335,2022-02-17 00:00:00
4,Mountain Creek,47.58541666666667,3.4083333333333337,2022-02-17 00:00:00
5,Roundtop,49.55666666666667,10.362916666666669,2022-02-17 00:00:00
6,Mt Snow,40.434583333333336,12.970833333333333,2022-02-17 00:00:00
7,Mohawk,44.83041666666666,2.8341666666666665,2022-02-17 00:00:00
8,Killington,44.295416666666675,3.8316666666666657,2022-02-17 00:00:00
9,Stowe,43.650000000000006,8.046666666666667,2022-02-17 00:00:00
10,Stratton,40.434583333333336,12.970833333333333,2022-02-17 00:00:00
11,Sugarbush,44.12,6.146249999999999,2022-02-17 00:00:00
12,Okemo,43.59666666666667,3.001666666666667,2022-02-17 00:00:00
0,Hunter,43.027499999999996,13.39625,2022-02-18 00:00:00
1,Jack Frost,42.74291666666667,17.6725,2022-02-18 00:00:00
2,Big Boulder,40.91791666666666,2.792916666666667,2022-02-18 00:00:00
3,Windham,41.5725,6.590833333333333,2022-02-18 00:00:00
4,Mountain Creek,46.83291666666667,6.105416666666667,2022-02-18 00:00:00
5,Roundtop,46.57749999999999,16.886666666666667,2022-02-18 00:00:00
6,Mt Snow,35.39625,16.916666666666664,2022-02-18 00:00:00
7,Mohawk,43.65708333333333,4.459166666666667,2022-02-18 00:00:00
8,Killington,36.13791666666666,4.357083333333334,2022-02-18 00:00:00
9,Stowe,28.125,8.0725,2022-02-18 00:00:00
10,Stratton,35.39625,16.916666666666664,2022-02-18 00:00:00
11,Sugarbush,30.756250000000005,5.884583333333332,2022-02-18 00:00:00
12,Okemo,39.21916666666666,5.4558333333333335,2022-02-18 00:00:00
0,Hunter,22.46416666666667,8.302916666666665,2022-02-19 00:00:00
1,Jack Frost,24.258333333333336,10.811250000000001,2022-02-19 00:00:00
2,Big Boulder,22.024999999999995,5.581666666666667,2022-02-19 00:00:00
3,Windham,22.4575,5.685833333333332,2022-02-19 00:00:00
4,Mountain Creek,26.082500000000007,2.6870833333333333,2022-02-19 00:00:00
5,Roundtop,28.38625,9.427916666666667,2022-02-19 00:00:00
6,Mt Snow,15.279583333333335,9.802083333333334,2022-02-19 00:00:00
7,Mohawk,21.860833333333332,3.846666666666667,2022-02-19 00:00:00
8,Killington,18.012500000000003,3.7304166666666667,2022-02-19 00:00:00
9,Stowe,14.38375,5.22375,2022-02-19 00:00:00
10,Stratton,15.279583333333335,9.802083333333334,2022-02-19 00:00:00
11,Sugarbush,15.86208333333333,5.13,2022-02-19 00:00:00
12,Okemo,19.390416666666667,2.477083333333333,2022-02-19 00:00:00
0,Hunter,21.01958333333333,8.516666666666667,2022-02-20 00:00:00
1,Jack Frost,21.3625,10.509166666666667,2022-02-20 00:00:00
2,Big Boulder,18.957916666666666,3.9616666666666673,2022-02-20 00:00:00
3,Windham,20.6525,4.2683333333333335,2022-02-20 00:00:00
4,Mountain Creek,23.63416666666667,2.8112499999999994,2022-02-20 00:00:00
5,Roundtop,25.181249999999995,8.507083333333334,2022-02-20 00:00:00
6,Mt Snow,12.275,10.043333333333335,2022-02-20 00:00:00
7,Mohawk,19.58333333333333,2.647916666666666,2022-02-20 00:00:00
8,Killington,15.431249999999999,2.3608333333333333,2022-02-20 00:00:00
9,Stowe,12.551666666666664,8.39125,2022-02-20 00:00:00
10,Stratton,12.275,10.043333333333335,2022-02-20 00:00:00
11,Sugarbush,13.448333333333336,5.042916666666668,2022-02-20 00:00:00
12,Okemo,16.896666666666665,3.7804166666666656,2022-02-20 00:00:00
0,Hunter,35.45333333333334,6.124583333333334,2022-02-21 00:00:00
1,Jack Frost,35.97999999999999,5.605416666666666,2022-02-21 00:00:00
2,Big Boulder,32.89041666666666,4.170416666666666,2022-02-21 00:00:00
3,Windham,36.452916666666674,4.840416666666666,2022-02-21 00:00:00
4,Mountain Creek,36.515,2.0658333333333334,2022-02-21 00:00:00
5,Roundtop,38.0225,3.6837499999999994,2022-02-21 00:00:00
6,Mt Snow,29.303333333333338,5.766249999999999,2022-02-21 00:00:00
7,Mohawk,33.00541666666667,3.8837500000000005,2022-02-21 00:00:00
8,Killington,32.331666666666656,2.4125000000000005,2022-02-21 00:00:00
9,Stowe,34.602083333333326,5.3999999999999995,2022-02-21 00:00:00
10,Stratton,29.303333333333338,5.766249999999999,2022-02-21 00:00:00
11,Sugarbush,34.78875,6.378333333333335,2022-02-21 00:00:00
12,Okemo,32.70708333333334,2.27875,2022-02-21 00:00:00
0,Hunter,36.034166666666664,4.09,2022-02-22 00:00:00
1,Jack Frost,40.19083333333332,5.980416666666667,2022-02-22 00:00:00
2,Big Boulder,37.34541666666666,3.554583333333333,2022-02-22 00:00:00
3,Windham,37.13833333333333,3.616249999999999,2022-02-22 00:00:00
4,Mountain Creek,39.30458333333334,2.1304166666666666,2022-02-22 00:00:00
5,Roundtop,46.03416666666667,4.6575,2022-02-22 00:00:00
6,Mt Snow,30.071250000000006,3.5474999999999994,2022-02-22 00:00:00
7,Mohawk,35.306666666666665,3.035833333333333,2022-02-22 00:00:00
8,Killington,34.05291666666667,3.9383333333333326,2022-02-22 00:00:00
9,Stowe,33.702916666666674,5.129583333333333,2022-02-22 00:00:00
